content,date,exp
"{""subject"":""e34935yzog1"",""condition"":""L1A"",""vignetteType"":""L"",""vignetteNumber"":1,""answerOrder"":""A"",""dummyVignetteAnswer"":""6"",""vignetteAnswer"":""5"",""gender"":""male"",""age"":""22"",""postquestion1"":""correct"",""postquestion2"":""""}",2019-03-25 03:47:15.138095,
"{""subject"":""93uq35yzwft"",""condition"":""L11B"",""vignetteType"":""L"",""vignetteNumber"":11,""answerOrder"":""B"",""dummyVignetteAnswer"":""2"",""vignetteAnswer"":""3"",""gender"":""male"",""age"":""60"",""postquestion1"":""correct"",""postquestion2"":""""}",2019-03-25 03:41:57.937415,
"{""subject"":""rhcr35yz1bz"",""condition"":""L10B"",""vignetteType"":""L"",""vignetteNumber"":10,""answerOrder"":""B"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""2"",""gender"":""male"",""age"":""28"",""postquestion1"":""correct"",""postquestion2"":""""}",2019-03-25 03:26:20.973465,
"{""subject"":""h91m35yz95n"",""condition"":""L2B"",""vignetteType"":""L"",""vignetteNumber"":2,""answerOrder"":""B"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""5"",""gender"":""male"",""age"":""46"",""postquestion1"":""correct"",""postquestion2"":""""}",2019-03-25 03:21:13.315209,
"{""subject"":""b19w35yz9az"",""condition"":""G6A"",""vignetteType"":""G"",""vignetteNumber"":6,""answerOrder"":""A"",""dummyVignetteAnswer"":""6"",""vignetteAnswer"":""6"",""gender"":""female"",""age"":""32"",""postquestion1"":""correct"",""postquestion2"":""this is amy testing ""}",2019-03-25 02:59:31.536456,
"{""subject"":""i4ew35yzpyu"",""condition"":""L8A"",""vignetteType"":""L"",""vignetteNumber"":8,""answerOrder"":""A"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""5"",""gender"":""male"",""age"":""24"",""postquestion1"":""correct"",""postquestion2"":""""}",2019-03-25 03:13:54.422929,
"{""subject"":""tjty35yzeuo"",""condition"":""L11A"",""vignetteType"":""L"",""vignetteNumber"":11,""answerOrder"":""A"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""2"",""gender"":""male"",""age"":""56"",""postquestion1"":""correct"",""postquestion2"":""Known probabilities are better to know ""}",2019-03-25 05:36:53.938430,
"{""subject"":""yv1p35yz74b"",""condition"":""G5A"",""vignetteType"":""G"",""vignetteNumber"":5,""answerOrder"":""A"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""4"",""gender"":""female"",""age"":""64"",""postquestion1"":""correct"",""postquestion2"":""There was really no guarantee and A was a 50/50 while B was unknown- so it did not matter to me.""}",2019-03-25 03:21:48.680621,
"{""subject"":""57h135yzsph"",""condition"":""L5A"",""vignetteType"":""L"",""vignetteNumber"":5,""answerOrder"":""A"",""dummyVignetteAnswer"":""3"",""vignetteAnswer"":""1"",""gender"":""male"",""age"":""35"",""postquestion1"":""correct"",""postquestion2"":""I would rather have a 50/50 shot of being sick, since I didn't like not knowing the odds in the other scenario.""}",2019-03-25 03:21:50.135145,
"{""subject"":""d9yp35yz7e5"",""condition"":""G11B"",""vignetteType"":""G"",""vignetteNumber"":11,""answerOrder"":""B"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""4"",""gender"":""female"",""age"":""48"",""postquestion1"":""correct"",""postquestion2"":""I chose no preference because there wasn't any way to know which location the bird would be at. ""}",2019-03-25 04:16:01.874420,
