content,date,exp
"{""subject"":""k0jo35yzxhq"",""condition"":""L9A"",""vignetteType"":""L"",""vignetteNumber"":9,""answerOrder"":""A"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""6"",""gender"":""male"",""age"":""33"",""postquestion1"":""correct"",""postquestion2"":""I might have better than 50/50 chance of winning. ""}",2019-03-27 02:51:28.952847,
"{""subject"":""xjx535yzfgz"",""condition"":""L11A"",""vignetteType"":""L"",""vignetteNumber"":11,""answerOrder"":""A"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""4"",""gender"":""female"",""age"":""44"",""postquestion1"":""correct"",""postquestion2"":""Because the end result ultimately didn't matter. If my kid had an equal interest and ability in tasks X and Y, one program would survive. I'd just put my kid in that program. ""}",2019-03-27 01:09:31.627984,
"{""subject"":""i2sw35yzloe"",""condition"":""G4B"",""vignetteType"":""G"",""vignetteNumber"":4,""answerOrder"":""B"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""7"",""gender"":""female"",""age"":""53"",""postquestion1"":""correct"",""postquestion2"":""""}",2019-03-27 03:09:12.779104,
"{""subject"":""iyeb35yz1oh"",""condition"":""G3A"",""vignetteType"":""G"",""vignetteNumber"":3,""answerOrder"":""A"",""dummyVignetteAnswer"":""1"",""vignetteAnswer"":""6"",""gender"":""male"",""age"":""62"",""postquestion1"":""correct"",""postquestion2"":"" If I was running a department I would need some support -it is better than betting on an all or nothing shot""}",2019-03-27 07:20:56.114382,
"{""subject"":""yfko35yzzq7"",""condition"":""G10B"",""vignetteType"":""G"",""vignetteNumber"":10,""answerOrder"":""B"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""6"",""gender"":""male"",""age"":""47"",""postquestion1"":""correct"",""postquestion2"":""Unless there's something I don't know (such as the odd of picking a winning ball could be 90%, I would feel better knowing what the odds are that I might win.""}",2019-03-27 02:02:26.483189,
"{""subject"":""vd1735yz5yi"",""condition"":""G10B"",""vignetteType"":""G"",""vignetteNumber"":10,""answerOrder"":""B"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""7"",""gender"":""female"",""age"":""56"",""postquestion1"":""correct"",""postquestion2"":""The option I chose was 50/50. The first option did not state the percentages of each color ball that were in the urn. ""}",2019-03-27 04:12:54.435092,
"{""subject"":""ck0835yze65"",""condition"":""L2A"",""vignetteType"":""L"",""vignetteNumber"":2,""answerOrder"":""A"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""1"",""gender"":""male"",""age"":""33"",""postquestion1"":""correct"",""postquestion2"":""Probability. It's the flip of a coin.""}",2019-03-27 04:33:48.852797,
"{""subject"":""8zfb35yzdrg"",""condition"":""L10B"",""vignetteType"":""L"",""vignetteNumber"":10,""answerOrder"":""B"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""7"",""gender"":""male"",""age"":""35"",""postquestion1"":""correct"",""postquestion2"":""I picked the answer I picked because I felt better knowing the odds. I think knowing the odds helps to improve in picking what option to chose. I was thinking if I have a 50/50 chance than there is a good chance that my job will be ok.""}",2019-03-27 03:29:55.509248,
"{""subject"":""cx6f35yzb3f"",""condition"":""L6B"",""vignetteType"":""L"",""vignetteNumber"":6,""answerOrder"":""B"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""5"",""gender"":""female"",""age"":""25"",""postquestion1"":""correct"",""postquestion2"":""""}",2019-03-27 03:59:11.703155,
"{""subject"":""6u5u35yzp86"",""condition"":""L3A"",""vignetteType"":""L"",""vignetteNumber"":3,""answerOrder"":""A"",""dummyVignetteAnswer"":""1"",""vignetteAnswer"":""2"",""gender"":""female"",""age"":""34"",""postquestion1"":""correct"",""postquestion2"":""I was thinking that option B could have been a higher probability of infestation X, and with a 50/50 shot, those were nicer odds.""}",2019-03-27 01:00:55.837073,
"{""subject"":""egzi35yztxn"",""condition"":""L1A"",""vignetteType"":""L"",""vignetteNumber"":1,""answerOrder"":""A"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""4"",""gender"":""male"",""age"":""28"",""postquestion1"":""correct"",""postquestion2"":""""}",2019-03-27 01:00:20.888746,
"{""subject"":""gppa35yzpk3"",""condition"":""L1B"",""vignetteType"":""L"",""vignetteNumber"":1,""answerOrder"":""B"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""4"",""gender"":""male"",""age"":""52"",""postquestion1"":""correct"",""postquestion2"":""either one I did not know which one will plummet and which one would grow.""}",2019-03-27 00:27:53.214787,
"{""subject"":""em7h35yzd50"",""condition"":""G10B"",""vignetteType"":""G"",""vignetteNumber"":10,""answerOrder"":""B"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""7"",""gender"":""male"",""age"":""47"",""postquestion1"":""correct"",""postquestion2"":""A 50/50 chance to win a thousand bucks seems like a good position to be in.""}",2019-03-27 00:58:49.609496,
"{""subject"":""6xxn35yzu29"",""condition"":""L1A"",""vignetteType"":""L"",""vignetteNumber"":1,""answerOrder"":""A"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""4"",""gender"":""female"",""age"":""28"",""postquestion1"":""correct"",""postquestion2"":""""}",2019-03-27 00:03:50.958118,
"{""subject"":""f2wm35yz235"",""condition"":""L6B"",""vignetteType"":""L"",""vignetteNumber"":6,""answerOrder"":""B"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""6"",""gender"":""female"",""age"":""47"",""postquestion1"":""correct"",""postquestion2"":""There's less ambiguity in situation B; that makes it less stressful for me.""}",2019-03-27 00:24:48.410592,
"{""subject"":""yu4435yzde5"",""condition"":""L7A"",""vignetteType"":""L"",""vignetteNumber"":7,""answerOrder"":""A"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""2"",""gender"":""male"",""age"":""34"",""postquestion1"":""correct"",""postquestion2"":""I like to know my chances for something before hand. ""}",2019-03-27 01:44:01.468663,
