content,date,exp
"{""subject"":""cu6c35yz7gk"",""condition"":""L6B"",""vignetteType"":""L"",""vignetteNumber"":6,""answerOrder"":""B"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""6"",""gender"":""male"",""age"":""42"",""postquestion1"":""correct"",""postquestion2"":""""}",2019-03-27 12:46:38.995678,
"{""subject"":""5ojh35yzrhs"",""condition"":""L8B"",""vignetteType"":""L"",""vignetteNumber"":8,""answerOrder"":""B"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""4"",""gender"":""female"",""age"":""37"",""postquestion1"":""correct"",""postquestion2"":""""}",2019-03-27 13:43:57.940135,
"{""subject"":""dtw135yzx52"",""condition"":""L11B"",""vignetteType"":""L"",""vignetteNumber"":11,""answerOrder"":""B"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""6"",""gender"":""female"",""age"":""36"",""postquestion1"":""correct"",""postquestion2"":""I just thought about which option I would prefer. ""}",2019-03-27 11:25:18.783280,
"{""subject"":""721g35yzb76"",""condition"":""G3B"",""vignetteType"":""G"",""vignetteNumber"":3,""answerOrder"":""B"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""3"",""gender"":""male"",""age"":""58"",""postquestion1"":""correct"",""postquestion2"":""Trying to figure probability of being in the 'good' department - having an even chance, to me, is better than an unknown chance.""}",2019-03-27 14:30:13.728561,
"{""subject"":""e3zt35yzqg8"",""condition"":""G8A"",""vignetteType"":""G"",""vignetteNumber"":8,""answerOrder"":""A"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""3"",""gender"":""male"",""age"":""35"",""postquestion1"":""correct"",""postquestion2"":""I think a 50/50 chance of having a date with someone attractive is decent enough!""}",2019-04-04 13:40:41.086060,
"{""subject"":""qygp35yz4cb"",""condition"":""L8B"",""vignetteType"":""L"",""vignetteNumber"":8,""answerOrder"":""B"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""3"",""gender"":""female"",""age"":""37"",""postquestion1"":""correct"",""postquestion2"":""I would want to know if my car was involved in the hailstorm; however, I would not want it to put a damper on my vacation. ""}",2019-03-27 12:36:48.241848,
"{""subject"":""qc0735yzzp0"",""condition"":""G11B"",""vignetteType"":""G"",""vignetteNumber"":11,""answerOrder"":""B"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""5"",""gender"":""male"",""age"":""34"",""postquestion1"":""correct"",""postquestion2"":""""}",2019-03-27 12:30:53.725483,
"{""subject"":""k0jo35yzxhq"",""condition"":""L9A"",""vignetteType"":""L"",""vignetteNumber"":9,""answerOrder"":""A"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""6"",""gender"":""male"",""age"":""33"",""postquestion1"":""correct"",""postquestion2"":""I might have better than 50/50 chance of winning. ""}",2019-03-27 02:51:28.952847,
"{""subject"":""xjx535yzfgz"",""condition"":""L11A"",""vignetteType"":""L"",""vignetteNumber"":11,""answerOrder"":""A"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""4"",""gender"":""female"",""age"":""44"",""postquestion1"":""correct"",""postquestion2"":""Because the end result ultimately didn't matter. If my kid had an equal interest and ability in tasks X and Y, one program would survive. I'd just put my kid in that program. ""}",2019-03-27 01:09:31.627984,
"{""subject"":""yntb35yzdk9"",""condition"":""L7A"",""vignetteType"":""L"",""vignetteNumber"":7,""answerOrder"":""A"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""2"",""gender"":""male"",""age"":""38"",""postquestion1"":""correct"",""postquestion2"":""I chose to go with a known probability as an unknown could very well be a lower probability. This way I knew my chances ahead of time.""}",2019-03-27 13:02:01.235040,
"{""subject"":""sxjn35yzuc9"",""condition"":""G3B"",""vignetteType"":""G"",""vignetteNumber"":3,""answerOrder"":""B"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""6"",""gender"":""female"",""age"":""31"",""postquestion1"":""correct"",""postquestion2"":""""}",2019-03-27 15:09:23.155664,
"{""subject"":""6qhh35yzebs"",""condition"":""L4B"",""vignetteType"":""L"",""vignetteNumber"":4,""answerOrder"":""B"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""3"",""gender"":""female"",""age"":""41"",""postquestion1"":""correct"",""postquestion2"":""I was hoping I could get a less chance at Virus X.""}",2019-03-27 15:26:36.128008,
"{""subject"":""i2sw35yzloe"",""condition"":""G4B"",""vignetteType"":""G"",""vignetteNumber"":4,""answerOrder"":""B"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""7"",""gender"":""female"",""age"":""53"",""postquestion1"":""correct"",""postquestion2"":""""}",2019-03-27 03:09:12.779104,
"{""subject"":""633h35yzbiy"",""condition"":""L3A"",""vignetteType"":""L"",""vignetteNumber"":3,""answerOrder"":""A"",""dummyVignetteAnswer"":""6"",""vignetteAnswer"":""2"",""gender"":""female"",""age"":""24"",""postquestion1"":""correct"",""postquestion2"":""""}",2019-03-27 12:02:26.579856,
"{""subject"":""csuk35yz2j9"",""condition"":""G6A"",""vignetteType"":""G"",""vignetteNumber"":6,""answerOrder"":""A"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""4"",""gender"":""male"",""age"":""35"",""postquestion1"":""correct"",""postquestion2"":""Different probabilities of my crush being at one party or the other does not make any difference, because no matter what, your own choice would still be random.""}",2019-03-27 09:18:07.301773,
"{""subject"":""jor135yzfza"",""condition"":""G10B"",""vignetteType"":""G"",""vignetteNumber"":10,""answerOrder"":""B"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""5"",""gender"":""female"",""age"":""33"",""postquestion1"":""correct"",""postquestion2"":""As the probability is unknown, there would be a chance that it would be 99% yellow, so I would have slightly preferred at least a somewhat reasonable chance over the chance of some very unfavorable probability.""}",2019-03-27 15:20:52.353971,
"{""subject"":""ekjt35yzznk"",""condition"":""L10A"",""vignetteType"":""L"",""vignetteNumber"":10,""answerOrder"":""A"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""3"",""gender"":""male"",""age"":""27"",""postquestion1"":""correct"",""postquestion2"":""at first I thought there was 50% for both, but I wasn't entirely sure""}",2019-03-27 14:08:09.591498,
"{""subject"":""iyeb35yz1oh"",""condition"":""G3A"",""vignetteType"":""G"",""vignetteNumber"":3,""answerOrder"":""A"",""dummyVignetteAnswer"":""1"",""vignetteAnswer"":""6"",""gender"":""male"",""age"":""62"",""postquestion1"":""correct"",""postquestion2"":"" If I was running a department I would need some support -it is better than betting on an all or nothing shot""}",2019-03-27 07:20:56.114382,
"{""subject"":""hk9635yzx87"",""condition"":""G5B"",""vignetteType"":""G"",""vignetteNumber"":5,""answerOrder"":""B"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""3"",""gender"":""male"",""age"":""40"",""postquestion1"":""correct"",""postquestion2"":""""}",2019-03-27 13:51:37.168434,
"{""subject"":""pus735yz2uu"",""condition"":""L3B"",""vignetteType"":""L"",""vignetteNumber"":3,""answerOrder"":""B"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""6"",""gender"":""male"",""age"":""61"",""postquestion1"":""correct"",""postquestion2"":""I chose it because the probability in A was unknown. At least with my choice I had a 50% probability of a better outcome.""}",2019-03-27 10:16:09.378399,
"{""subject"":""u9iz35yzw1b"",""condition"":""L5A"",""vignetteType"":""L"",""vignetteNumber"":5,""answerOrder"":""A"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""4"",""gender"":""female"",""age"":""41"",""postquestion1"":""correct"",""postquestion2"":""Obviously you want it to be the benign option.  50% is only half odds, not that great.  Not knowing the chances with the second option made me feel like I just had to take a random chance.""}",2019-03-27 19:28:10.037257,
"{""subject"":""yfko35yzzq7"",""condition"":""G10B"",""vignetteType"":""G"",""vignetteNumber"":10,""answerOrder"":""B"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""6"",""gender"":""male"",""age"":""47"",""postquestion1"":""correct"",""postquestion2"":""Unless there's something I don't know (such as the odd of picking a winning ball could be 90%, I would feel better knowing what the odds are that I might win.""}",2019-03-27 02:02:26.483189,
"{""subject"":""vhne35yzdwu"",""condition"":""L12A"",""vignetteType"":""L"",""vignetteNumber"":12,""answerOrder"":""A"",""dummyVignetteAnswer"":""6"",""vignetteAnswer"":""4"",""gender"":""female"",""age"":""56"",""postquestion1"":""correct"",""postquestion2"":""""}",2019-03-27 12:03:05.090631,
"{""subject"":""pd3735yz4v7"",""condition"":""G9B"",""vignetteType"":""G"",""vignetteNumber"":9,""answerOrder"":""B"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""6"",""gender"":""female"",""age"":""63"",""postquestion1"":""correct"",""postquestion2"":""because it was the last question""}",2019-03-27 21:59:28.142415,
"{""subject"":""maeq35yzdc0"",""condition"":""L2A"",""vignetteType"":""L"",""vignetteNumber"":2,""answerOrder"":""A"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""3"",""gender"":""male"",""age"":""29"",""postquestion1"":""correct"",""postquestion2"":""""}",2019-03-27 13:20:59.147146,
"{""subject"":""ugst35yzm2d"",""condition"":""L12A"",""vignetteType"":""L"",""vignetteNumber"":12,""answerOrder"":""A"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""1"",""gender"":""female"",""age"":""48"",""postquestion1"":""correct"",""postquestion2"":""I chose the option where each department had a 50% chance of being cut. In this situation I would at least know I had a equal chance of loss. The other option was totally unknown, and it would be possible for me to choose to enter the department with a very slim chance of staying open. ""}",2019-03-27 14:02:28.049628,
"{""subject"":""qc0735yzzp0"",""condition"":""G11B"",""vignetteType"":""G"",""vignetteNumber"":11,""answerOrder"":""B"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""5"",""gender"":""male"",""age"":""34"",""postquestion1"":""correct"",""postquestion2"":""""}",2019-03-27 12:31:04.445110,
